X,Y,vel,acc
0,0,20,0
-0.63417408906389,-0.750677940435708,20,0
-1.26834830106236,-1.5013558100909,20,0
-1.90252263308503,-2.25203364063054,20,0
-2.53669708804227,-3.00271141063422,20,0
-3.17087166605052,-3.75338912010193,20,0
-3.79974882502574,-4.51121733058244,20,0
-4.42349740606733,-5.27596813067794,20,0
-5.04724610806443,-6.04071887023747,20,0
-5.67099493509159,-6.80546957068145,20,0
-6.29474388307426,-7.57022021058947,20,0
-6.91832107398659,-8.33519496023655,20,0
-7.5314562569838,-9.1137884799391,20,0
-8.14459156303201,-9.89238194003701,20,0
-8.7577269920148,-10.6709753498435,20,0
-9.37086254404858,-11.4495687102899,20,0
-9.98399822006468,-12.2281620204449,20,0
-10.5914724200265,-13.0138901406899,20,0
-11.1938097570091,-13.806091950275,20,0
-11.796147215995,-14.5982937002555,20,0
-12.3984847969841,-15.390495410189,20,0
-13.000822502072,-16.182697060518,20,0
-13.6028047209838,-16.9753316901624,20,0
-14.1941627610941,-17.7809033701196,20,0
-14.7855209260015,-18.58647501003,20,0
-15.3768792140763,-19.3920465903357,20,0
-15.9682376260171,-20.1976181203499,20,0
-16.5595961610088,-21.0031896103173,20,0
-17.144924132037,-21.8158563198522,20,0
-17.7251249820692,-22.6345553305,20,0
-18.3053259580629,-23.4532543001696,20,0
-18.8855270540807,-24.2719532204792,20,0
-19.4657282750122,-25.0906520904973,20,0
-20.0453790690517,-25.9099767003208,20,0
-20.6142479430418,-26.7415566500276,20,0
-21.183116942062,-27.5731365503743,20,0
-21.7519860630855,-28.4047164106742,20,0
-22.3208553070435,-29.2362962206826,20,0
-22.8897246760316,-30.0678759803995,20,0
-23.4521902280394,-30.9064870104194,20,0
-24.0095559980255,-31.7506975298747,20,0
-24.5669218910625,-32.59490799997,20,0
-25.1242879070342,-33.4391184300184,20,0
-25.6816540450091,-34.2833288107067,20,0
-26.2382642780431,-35.1283408505842,20,0
-26.7839590309886,-35.9849278498441,20,0
-27.3296539050061,-36.8415148099884,20,0
-27.8753489020746,-37.6981017300859,20,0
-28.42104402103,-38.5546886101365,20,0
-28.9667392630363,-39.4112754398957,20,0
-29.5056541700615,-40.2748047802597,20,0
-30.0395137490705,-41.1435103705153,20,0
-30.5733734479872,-42.0122159300372,20,0
-31.1072332710028,-42.880921440199,20,0
-31.6410932140425,-43.749626910314,20,0
-32.1739819300128,-44.6192924203351,20,0
-32.6958454960259,-45.4998551504687,20,0
-33.2177091840422,-46.3804178498685,20,0
-33.739572993014,-47.2609804999083,20,0
-34.2614369239891,-48.1415431099012,20,0
-34.7833009740571,-49.0221056900919,20,0
-35.2980058060493,-49.909496829845,20,0
-35.807716374984,-50.8016515905038,20,0
-36.3174270649906,-51.6938063101843,20,0
-36.8271378750214,-52.5859610000625,20,0
-37.3368488050764,-53.4781156405807,20,0
-37.8453640610678,-54.3713704906404,20,0
-38.3427680640016,-55.2748487601057,20,0
-38.8401721860282,-56.1783270006999,20,0
-39.3375764270313,-57.0818051900715,20,0
-39.8349807870109,-57.985283350572,20,0
-40.3323852660833,-58.8887614803389,20,0
-40.8222502070712,-59.7989287301898,20,0
-41.3071980160894,-60.7134584998712,20,0
-41.7921459430363,-61.6279882406816,20,0
-42.2770939890761,-62.5425179507583,20,0
-42.7620421530446,-63.4570476198569,20,0
-43.2455618180102,-64.3727988302708,20,0
-43.7179073190782,-65.2981048505753,20,0
-44.1902529370273,-66.2234108401462,20,0
-44.6625986740692,-67.1487167999148,20,0
-45.1349445250817,-68.0740227205679,20,0
-45.6072904940229,-68.9993286104873,20,0
-46.0717161000939,-69.9311584103853,20,0
-46.5313172059832,-70.8669621003792,20,0
-46.990918428055,-71.802765769884,20,0
-47.4505197640974,-72.7385694105178,20,0
-47.9101212150417,-73.6743730101734,20,0
-48.3680537310429,-74.6115000899881,20,0
-48.8147719580447,-75.5575198000297,20,0
-49.2614902980858,-76.503539480269,20,0
-49.7082087510498,-77.4495591204613,20,0
-50.1549273179844,-78.3955787401646,20,0
-50.601645999006,-79.3415983300656,20,0
-51.0400639460422,-80.2939506005496,20,0
-51.4737649130402,-81.2499015200883,20,0
-51.9074659940088,-82.2058524005115,20,0
-52.3411671860376,-83.1618032604456,20,0
-52.774868490058,-84.1177540803328,20,0
-53.2066535929916,-85.0751103805378,20,0
-53.6272066159872,-86.0407047607005,20,0
-54.0477597520221,-87.006299120374,20,0
-54.4683129950427,-87.9718934502453,20,0
-54.8888663480757,-88.9374877503142,20,0
-55.3094198129838,-89.903082029894,20,0
-55.7212935800199,-90.8747916100547,20,0
-56.1285721510649,-91.8497387701646,20,0
-56.5358508310746,-92.8246859004721,20,0
-56.9431296190014,-93.7996330102906,20,0
-57.350408515078,-94.7745801005513,20,0
-57.7555179260671,-95.750994220376,20,0
-58.1493993160548,-96.7350007006899,20,0
-58.5432808110491,-97.7190071502701,20,0
-58.9371624140767,-98.7030135802925,20,0
-59.3310441219946,-99.6870199907571,20,0
-59.7249259339878,-100.671026370488,20,0
-60.1097514680587,-101.660904400051,20,0
-60.4901171909878,-102.653673959896,20,0
-60.8704830179922,-103.646443510428,20,0
-61.250848949072,-104.639213030227,20,0
-61.6312149830628,-105.631982520223,20,0
-62.0091530480422,-106.62625976,20,0
-62.3758884770796,-107.627493590117,20,0
-62.7426240080968,-108.628727390431,20,0
-63.1093596420251,-109.629961170256,20,0
-63.4760953760706,-110.631194939837,20,0
-63.8428312100004,-111.632428680547,20,0
-64.2001375360414,-112.63926404994,20,0
-64.553132354049,-113.648660720326,20,0
-64.9061272700783,-114.658057370223,20,0
-65.2591222850606,-115.667454000562,20,0
-65.6121173989959,-116.676850600168,20,0
-65.9624217000092,-117.687774410471,20,0
-66.3015695210779,-118.705030079931,20,0
-66.6407174390042,-119.722285740078,20,0
-66.9798654530896,-120.739541380666,20,0
-67.3190135640325,-121.756796999834,20,0
-67.6581617700867,-122.774052600376,20,0
-67.9875115740579,-123.796613490209,20,0
-68.3127103780862,-124.821421930566,20,0
-68.6379092740826,-125.846230360679,20,0
-68.9631082660053,-126.871038770303,20,0
-69.2883073510602,-127.895847160369,20,0
-69.6105492690112,-128.922180610709,20,0
-69.9217010410503,-129.954233350232,20,0
-70.2328529050574,-130.986286070198,20,0
-70.5440048610326,-132.018338770606,20,0
-70.8551569060655,-133.050391459838,20,0
-71.1663090430666,-134.082444130443,20,0
-71.4672992019914,-135.119479450397,20,0
-71.7643103450537,-136.158465790562,20,0
-72.0613215740304,-137.197452110238,20,0
-72.3583328910172,-138.236438410357,20,0
-72.6553442970617,-139.27542470023,20,0
-72.9491295380285,-140.315912030637,20,0
-73.231910526054,-141.361519220285,20,0
-73.5146915970836,-142.407126390375,20,0
-73.7974727550754,-143.452733560465,20,0
-74.0802539980505,-144.498340710066,20,0
-74.3630353229819,-145.543947840109,20,0
-74.6352974030888,-146.594188789837,20,0
-74.9037631700048,-147.646102060564,20,0
-75.1722290160833,-148.698015320115,20,0
-75.4406949430704,-149.749928570353,20,0
-75.709160953993,-150.801841800101,20,0
-75.9741300330497,-151.855209910311,20,0
-76.2281996500678,-152.913112619892,20,0
-76.4822693440365,-153.971015330404,20,0
-76.7363391179824,-155.028918010183,20,0
-76.9904089700431,-156.086820689961,20,0
-77.2444788999856,-157.144723350182,20,0
-77.487679605023,-158.206884980202,20,0
-77.7272766410606,-159.270458660088,20,0
-77.966873753001,-160.334032339975,20,0
-78.2064709389815,-161.397606000304,20,0
-78.4460682000499,-162.461179650389,20,0
-78.6818966360297,-163.526139779948,20,0
-78.9069479199825,-164.595064620487,20,0
-79.1319992740173,-165.663989440538,20,0
-79.3570507020922,-166.732914250344,20,0
-79.5821022000164,-167.80183906015,20,0
-79.8071537710493,-168.870763850398,20,0
-80.049250585027,-169.933310380206,20,0
-80.2965203680797,-170.993921230547,20,0
-80.5437902270351,-172.0545320604,20,0
-80.7910601620097,-173.115142880008,20,0
-81.0383301749826,-174.175753680058,20,0
-81.2856002650224,-175.236364480108,20,0
-81.5328704310814,-176.2969752606,20,0
-81.7801406750223,-177.357586040162,20,0
-82.027410994051,-178.418196800165,20,0
-82.2746813920094,-179.478807549924,20,0
-82.5219518650556,-180.539418290369,20,0
-82.7692224140046,-181.600029010326,20,0
-83.0164930419996,-182.660639730282,20,0
-83.2637637450825,-183.721250430681,20,0
