x_m, y_m, vx_mps, ax_mps2
0,0,20,0
-0.760010119992984,-0.649911240209008,20,0
-1.52002023905499,-1.29982247995201,20,0
-2.280030359048,-1.94973372016102,20,0
-3.04004047799398,-2.59964496037003,20,0
-3.800050597987,-3.24955620011303,20,0
-4.560060717049,-3.89946744032204,20,0
-5.32007083704201,-4.54937867028605,20,0
-6.07519483496401,-5.20490541029699,20,0
-6.82393072103099,-5.86777386022698,20,0
-7.57266660698198,-6.53064230037796,20,0
-8.32140249304899,-7.19351074006397,20,0
-9.07013837899999,-7.85637918999396,20,0
-9.818874265067,-8.51924763014506,20,0
-10.567610151018,-9.18211607029605,20,0
-11.316346036968,-9.84498452022604,20,0
-12.055118230986,-10.518914469983,20,0
-12.792359007988,-11.194544570055,20,0
-13.529599786037,-11.8701746803711,20,0
-14.266840563039,-12.545804779976,20,0
-15.004081340041,-13.221434880048,20,0
-15.741322117042,-13.897064980119,20,0
-16.478562894975,-14.572695089969,20,0
-17.212287961971,-15.2520959703251,20,0
-17.937816146062,-15.940288420301,20,0
-18.663344330969,-16.628480880055,20,0
-19.388872515061,-17.316673330031,20,0
-20.114400699036,-18.004865780007,20,0
-20.839928884059,-18.6930582402271,20,0
-21.565457068034,-19.381250690203,20,0
-22.290985252009,-20.069443149958,20,0
-23.007764623966,-20.766701830085,20,0
-23.721366186975,-21.46725362027,20,0
-24.434967749053,-22.16780540999,20,0
-25.148569312063,-22.8683572001751,20,0
-25.862170874024,-23.568908990361,20,0
-26.575772437034,-24.2694607800801,20,0
-27.289373998995,-24.970012570265,20,0
-28.000949369045,-25.672593150288,20,0
-28.702413799008,-26.385297609959,20,0
-29.403878228971,-27.0980020803401,20,0
-30.105342659051,-27.810706540011,20,0
-30.806807089015,-28.523411000147,20,0
-31.508271518978,-29.2361154700631,20,0
-32.209735949058,-29.948819930199,20,0
-32.911200377973,-30.661524400115,20,0
-33.605254297959,-31.381398260127,20,0
-34.294374665012,-32.106045150198,20,0
-34.983495032065,-32.830692050047,20,0
-35.672615400049,-33.5553389401171,20,0
-36.361735766986,-34.279985830188,20,0
-37.050856134039,-35.004632720258,20,0
-37.739976500976,-35.729279620107,20,0
-38.428673792979,-36.45432198001,20,0
-39.105246808962,-37.1906975302841,20,0
-39.781819824013,-37.927073090337,20,0
-40.458392839995,-38.663448640145,20,0
